Foundation,Layer,Feature_ID,Cosine_Similarity,Rank_in_Layer
loyalty,24,22969,0.13035837,9
loyalty,8,39742,0.12878142,8
loyalty,12,106227,0.12867539,5
loyalty,24,130087,0.12849267,10
loyalty,20,90210,0.12836441,5
loyalty,8,70671,0.12792166,9
loyalty,20,34162,0.12712336,6
loyalty,12,118478,0.1267345,6
loyalty,12,117305,0.12501475,7
loyalty,4,72227,0.12417604,6
loyalty,20,67827,0.12373087,7
loyalty,20,10010,0.12173889,8
loyalty,20,75978,0.12166486,9
loyalty,8,77221,0.12156966,10
loyalty,20,115014,0.12150687,10
loyalty,28,41638,0.11985472,8
loyalty,28,25947,0.11809264,9
loyalty,28,64229,0.11670324,10
loyalty,12,91978,0.11621798,8
loyalty,12,36170,0.11575273,9
loyalty,12,6901,0.11336376,10
loyalty,4,101134,0.112358734,7
loyalty,4,30991,0.110127,8
loyalty,4,105392,0.106838614,9
loyalty,4,74112,0.10641062,10
sanctity,20,95301,0.2503281,1
sanctity,4,34088,0.2340628,1
sanctity,24,16083,0.23146555,1
sanctity,28,15686,0.22935808,1
sanctity,20,100534,0.22643581,2
sanctity,28,102768,0.22419229,2
sanctity,4,128210,0.22371097,2
sanctity,24,5545,0.21962151,2
sanctity,24,130444,0.20663792,3
sanctity,4,27817,0.20061603,3
sanctity,16,74517,0.1820972,1
sanctity,20,72703,0.18080904,3
sanctity,28,17185,0.17026629,3
sanctity,8,124901,0.16942587,1
sanctity,24,129883,0.16873452,4
sanctity,20,37381,0.16811071,4
sanctity,24,369,0.16436106,5
sanctity,4,86469,0.16431901,4
sanctity,20,26609,0.1634163,5
sanctity,24,118460,0.15996009,6
sanctity,24,89959,0.15897098,7
sanctity,8,125754,0.15801753,2
sanctity,24,69927,0.15673032,8
sanctity,28,40233,0.15649572,4
sanctity,24,20055,0.15627305,9
sanctity,4,15617,0.15579934,5
sanctity,8,5747,0.15523669,3
sanctity,28,118156,0.15464419,5
sanctity,16,130669,0.15368375,2
sanctity,20,47891,0.15259722,6
sanctity,24,60921,0.15162054,10
sanctity,20,71644,0.15150762,7
sanctity,28,70504,0.1491212,6
sanctity,16,7529,0.14697865,3
sanctity,28,30885,0.14593336,7
sanctity,16,79020,0.14536652,4
sanctity,8,103194,0.14420721,4
sanctity,4,27829,0.14403355,6
sanctity,16,74312,0.14329627,5
sanctity,28,114000,0.14125334,8
sanctity,28,109128,0.13823813,9
sanctity,16,29355,0.13782889,6
sanctity,20,73378,0.13751045,8
sanctity,8,126574,0.13547075,5
sanctity,28,131060,0.13480434,10
sanctity,16,76937,0.13251719,7
sanctity,20,46371,0.13083604,9
sanctity,16,118744,0.12990867,8
sanctity,4,43421,0.1273103,7
sanctity,12,126173,0.12473048,1
sanctity,16,105161,0.123739876,9
sanctity,16,121857,0.1233689,10
sanctity,8,44118,0.123000406,6
sanctity,20,22236,0.12071587,10
sanctity,4,74112,0.119775355,8
sanctity,12,105372,0.11907564,2
sanctity,12,98536,0.11816249,3
sanctity,8,75950,0.11650252,7
sanctity,12,114571,0.115579374,4
sanctity,8,54472,0.11272517,8
sanctity,4,38131,0.10940163,9
sanctity,12,122251,0.108301595,5
sanctity,8,23258,0.10805611,9
sanctity,4,98157,0.10755297,10
sanctity,8,73776,0.10645721,10
sanctity,12,3488,0.1013553,6
sanctity,12,34065,0.09962558,7
sanctity,12,118904,0.099312976,8
sanctity,12,60280,0.097268045,9
sanctity,12,118478,0.09649782,10
